Rank,"Rank, 10 Biggest",Mode,Type of Service,NTD ID,Agency,City,State,Vehicle/Passenger Car Revenue Miles,Total Mechanical Failures,Mean Miles Between Breakdowns
126,NA,MB,PT,30111,Freedom Transit,Washington,PA,347788,22,15808.545454545454
127,NA,MB,PT,40036,StarMetro,Tallahassee,FL,47036,3,15678.666666666666
128,NA,MB,PT,50516,City of Plymouth,Minneapolis,MN,344813,22,15673.318181818182
129,NA,MB,PT,00057,Central Oregon Intergovernmental Council,Bend,OR,233804,15,15586.933333333332
130,NA,MB,PT,90234,Marin County Transit District,San Rafael,CA,2844726,185,15376.897297297297
131,NA,MB,DO,60134,The Woodlands Township,Spring,TX,92259,6,15376.5
132,NA,MB,DO,60017,EMBARK,Oklahoma City,OK,3292511,215,15314.004651162792
133,NA,MB,DO,20192,Bergen County Community Transportation,Hackensack,NJ,61220,4,15305
134,NA,MB,PT,90200,Kings County Area Public Transit Agency,Hanford,CA,747231,49,15249.612244897959
135,NA,MB,PT,50113,Pace - Suburban Bus Division,Arlington Heights,IL,894498,59,15160.983050847457
136,NA,MB,PT,90045,Regional Transportation Commission of Southern Nevada,Las Vegas,NV,17881034,1200,14900.861666666666
137,NA,MB,PT,00011,Valley Regional Transit,Meridian,ID,1398420,94,14876.808510638299
138,NA,MB,DO,20209,Somerset County Transportation,Somerville,NJ,310963,21,14807.761904761905
139,NA,MB,DO,90006,Santa Cruz Metropolitan Transit District,Santa Cruz,CA,2210921,151,14641.860927152318
140,NA,MB,DO,00025,Salem-Keizer Transit or Cherriots,Salem,OR,2268251,155,14633.877419354838
141,NA,MB,DO,50015,The Greater Cleveland Regional Transit Authority,Cleveland,OH,13125384,907,14471.20617420066
142,NA,MB,PT,10105,Cape Cod Regional Transit Authority,Hyannis,MA,1681073,117,14368.145299145299
143,NA,MB,PT,50050,Indianapolis and Marion County Public Transportation,Indianapolis,IN,114157,8,14269.625
144,NA,MB,PT,40110,Charleston Area Regional Transportation Authority,North Charleston,SC,2387117,170,14041.864705882354
145,NA,MB,PT,90089,Sonoma County Transit,Santa Rosa,CA,1304672,93,14028.731182795698
146,NA,MB,PT,22930,New York City Economic Development Corporation,New York,NY,112170,8,14021.25
147,NA,MB,PT,00007,Lane Transit District,Eugene,OR,98038,7,14005.42857142857
148,NA,MB,PT,90232,Solano County Transit,Vallejo,CA,516624,37,13962.81081081081
149,NA,MB,PT,40040,Jacksonville Transportation Authority,Jacksonville,FL,208725,15,13915
150,NA,MB,PT,90121,Antelope Valley Transit Authority,Lancaster,CA,2149561,155,13868.135483870969
151,NA,MB,PT,90001,Regional Transportation Commission of Washoe County,Reno,NV,1934646,144,13435.041666666666
152,NA,MB,PT,30014,Capital Area Transit,NA,PA,67005,5,13401
153,NA,MB,DO,10066,Green Mountain Transit Authority,Burlington,VT,1363748,102,13370.078431372549
154,NA,MB,DO,90206,San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,1199539,90,13328.211111111112
155,NA,MB,DO,70014,Topeka Metropolitan Transit Authority,Topeka,KS,795313,60,13255.216666666667
156,NA,MB,PT,50154,Metropolitan Council,Minneapolis,MN,2833802,215,13180.474418604652
157,NA,MB,DO,00021,Whatcom Transportation Authority,Bellingham,WA,2133859,163,13091.159509202455
158,NA,MB,DO,60024,Shreveport Area Transit System,Shreveport,LA,1988803,152,13084.230263157895
159,NA,MB,PT,90032,Valley Metro,Phoenix,AZ,19882203,1522,13063.208278580814
160,NA,MB,PT,80006,Denver Regional Transportation District,Denver,CO,10877523,836,13011.39114832536
161,NA,MB,DO,20145,Tompkins Consolidated Area Transit,Ithaca,NY,1407905,110,12799.136363636364
162,NA,MB,DO,40043,THE WAVE TRANSIT SYSTEM,Mobile,AL,1103079,87,12679.068965517241
163,NA,MB,DO,00034,Rogue Valley Transportation District,Medford,OR,1189498,94,12654.234042553191
164,NA,MB,DO,50039,Saginaw Transit Authority Regional Service,Saginaw,MI,629965,50,12599.3
165,NA,MB,PT,40087,GoDurham,Durham,NC,2313822,184,12575.119565217392
166,NA,MB,DO,50028,Metro Bus,Saint Cloud,MN,980663,78,12572.602564102564
167,NA,MB,PT,40128,Emerald Coast Rider,Crestview,FL,377166,30,12572.2
168,NA,MB,DO,60033,Rock Region Metropolitan Transit Authority,North Little Rock,AR,1776910,144,12339.652777777777
169,NA,MB,DO,10098,"Western Maine Transportation Services, Inc.",Auburn,ME,147142,12,12261.833333333334
170,NA,MB,PT,20084,Public Transportation - Transport of Rockland,New City,NY,1848240,151,12240
171,NA,MB,PT,40027,Pinellas Suncoast Transit Authority,Saint Petersburg,FL,474956,39,12178.358974358975
172,NA,MB,PT,70048,City of Lawrence,Lawrence,KS,907072,76,11935.157894736842
173,NA,MB,DO,10128,Connecticut Department of Transportation- CTTransit Waterbury- NET,Watertown,CT,1347694,113,11926.495575221239
174,NA,MB,DO,10183,"Woods Hole, Martha's Vineyard and Nantucket Steamship Authority",Falmouth,MA,321765,27,11917.222222222223
175,NA,MB,PT,50026,Metropolitan Area Transit,Moorhead,MN,436712,37,11803.027027027027
176,NA,MB,DO,50113,Pace - Suburban Bus Division,Arlington Heights,IL,21099865,1796,11748.254454342985
177,NA,MB,DO,40030,Regional Transit System,Gainesville,FL,3139795,268,11715.652985074626
178,NA,MB,DO,50110,Bloomington Public Transportation Corporation,Bloomington,IN,906881,78,11626.679487179486
179,NA,MB,DO,50044,Fort Wayne Public Transportation Corporation,Fort Wayne,IN,1346468,118,11410.745762711864
180,NA,MB,DO,80006,Denver Regional Transportation District,Denver,CO,14487565,1271,11398.556254917388
181,NA,MB,DO,70018,Iowa City Transit,Iowa City,IA,717837,63,11394.238095238095
182,NA,MB,DO,40108,GoTriangle,Durham,NC,2024127,181,11183.022099447513
183,NA,MB,PT,60018,Metropolitan Tulsa Transit Authority,Tulsa,OK,288928,26,11112.615384615385
184,NA,MB,PT,40007,GoRaleigh,Raleigh,NC,3921446,356,11015.297752808989
185,NA,MB,DO,90020,Santa Barbara Metropolitan Transit District,Santa Barbara,CA,2237670,204,10968.970588235294
186,NA,MB,DO,90017,City of Santa Rosa,Santa Rosa,CA,734176,67,10957.850746268658
187,NA,MB,PT,10130,Connecticut Department of Transportation -CTTRANSIT New Britain,Berlin,CT,788201,72,10947.236111111111
188,NA,MB,DO,30035,Ohio Valley Regional Transportation Authority,Wheeling,WV,754992,69,10941.91304347826
189,NA,MB,DO,90078,COUNTY CONNECTION,Concord,CA,2082268,192,10845.145833333334
190,NA,MB,PT,60051,The B,Corpus Christi,TX,628863,58,10842.465517241379
191,NA,MB,DO,90015,San Francisco Municipal Transportation Agency,San Francisco,CA,12259450,1131,10839.478337754199
192,NA,MB,PT,60269,Texas State University,San Marcos,TX,691466,64,10804.15625
193,NA,MB,PT,70035,Johnson County Transit,Olathe,KS,985143,92,10708.076086956522
194,NA,MB,DO,60007,Trinity Metro,Fort Worth,TX,5491227,514,10683.321011673152
195,NA,MB,DO,40002,Knoxville Area Transit,Knoxville,TN,2448097,230,10643.9
196,NA,MB,PT,80003,Metropolitan Area Transit,Fargo,ND,794727,75,10596.36
197,NA,MB,DO,20178,Ulster County,Kingston,NY,942925,89,10594.662921348314
198,NA,MB,PT,10064,Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,1125861,107,10522.065420560748
199,NA,MB,DO,40037,"Palm Tran, Inc.",West Palm Beach,FL,7296517,695,10498.58561151079
200,NA,MB,DO,40038,Escambia County Area Transit Authority,Pensacola,FL,1208652,116,10419.413793103447
201,NA,MB,DO,50053,Terre Haute Transit Utility,Terre Haute,IN,383137,37,10355.054054054053
202,NA,MB,PT,20080,New Jersey Transit Corporation,Newark,NJ,6782440,655,10354.870229007634
203,NA,MB,PT,50515,University of Minnesota Transit,Minneapolis,MN,546331,53,10308.132075471698
204,NA,MB,DO,30054,Centre Area Transportation Authority,State College,PA,1566042,153,10235.56862745098
205,NA,MB,DO,60111,Rio Metro Regional Transit District,Albuquerque,NM,162509,16,10156.8125
206,NA,MB,PT,90030,North County Transit District,Oceanside,CA,5253714,518,10142.305019305019
207,NA,MB,DO,30010,Lehigh and Northampton Transportation Authority,Allentown,PA,3256828,322,10114.372670807454
208,NA,MB,DO,90019,Sacramento RT,Sacramento,CA,7320594,725,10097.371034482758
209,NA,MB,DO,50148,Blue Water Area Transit,Port Huron,MI,392995,39,10076.794871794871
210,NA,MB,PT,99424,Pasadena Transit,Pasadena,CA,739633,74,9995.04054054054
211,NA,MB,PT,50092,Rochester Public Transit,Rochester,MN,1496570,150,9977.133333333333
212,NA,MB,PT,50518,SouthWest Transit,Eden Prairie,MN,478424,48,9967.166666666666
213,NA,MB,PT,90173,Merced The Bus,Merced,CA,1619710,164,9876.280487804877
214,NA,MB,PT,40140,Collier Area Transit,Naples,FL,1381925,140,9870.892857142857
215,NA,MB,PT,20072,Dept of Public Works - Transportation Division,Yaphank,NY,7217376,733,9846.351978171897
216,NA,MB,PT,40138,Ride Gwinnett,Lawrenceville,GA,1674899,171,9794.730994152047
217,NA,MB,PT,00001,King County Metro,Seattle,WA,907697,93,9760.182795698925
218,NA,MB,DO,70008,Cedar Rapids Transit,Cedar Rapids,IA,968950,100,9689.5
219,NA,MB,DO,20018,New York Regional Transportation Authority,NA,NY,4201196,434,9680.175115207374
220,NA,MB,PT,90154,Metro,Los Angeles,CA,5419931,566,9575.849823321554
221,NA,MB,DO,30072,TransIT Services of Frederick County,Frederick,MD,762044,81,9407.95061728395
222,NA,MB,DO,30137,Monroe County Transportation  Authority,Swiftwater,PA,384696,41,9382.829268292682
223,NA,MB,PT,50519,Minnesota Valley Transit Authority,Burnsville,MN,3062719,327,9366.113149847095
224,NA,MB,DO,80001,Utah Transit Authority,Salt Lake City,UT,15613707,1678,9304.9505363528
225,NA,MB,DO,30026,River Valley Transit,Williamsport,PA,855910,92,9303.369565217392
226,NA,MB,PT,90131,Scottsdale Trolley,Scottsdale,AZ,530264,57,9302.877192982456
227,NA,MB,PT,90214,Beach Cities Transit,Redondo Beach,CA,395163,43,9189.837209302326
228,NA,MB,DO,40172,Greenway Public Transportation,Conover,NC,336686,37,9099.621621621622
229,NA,MB,PT,30080,Arlington Transit,Arlington,VA,1829634,203,9012.975369458129
230,NA,MB,PT,90029,Omnitrans,San Bernardino,CA,401860,45,8930.222222222223
231,NA,MB,DO,90142,ASUCD-Unitrans,Davis,CA,613801,71,8645.084507042253
232,NA,MB,PT,90148,Victor Valley Transit Authority,Hesperia,CA,2697200,312,8644.871794871795
233,NA,MB,DO,30014,Capital Area Transit,NA,PA,1787823,207,8636.826086956522
234,NA,MB,DO,50036,Capital Area Transportation Authority,Lansing,MI,3402179,396,8591.361111111111
235,NA,MB,DO,40017,Lextran,Lexington,KY,1803824,211,8548.928909952607
236,NA,MB,PT,90036,Orange County Transportation Authority,Orange,CA,6108497,724,8437.150552486188
237,1,MB,DO,20080,New Jersey Transit Corporation,Newark,NJ,74356213,8875,8378.164845070423
238,NA,MB,DO,00008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,20225984,2436,8302.949096880131
239,NA,MB,PT,40006,Wave Transit,Wilmington,NC,1164173,142,8198.401408450703
240,2,MB,DO,20008,MTA New York City Transit,Brooklyn,NY,82638609,10095,8186.093016344725
241,NA,MB,DO,50001,Valley Transit,Appleton,WI,835770,103,8114.271844660194
242,NA,MB,PT,10087,Nashua Transit System,Nashua,NH,470309,58,8108.775862068966
243,NA,MB,PT,30061,Mid Mon Valley Transit Authority,Charleroi,PA,736721,91,8095.8351648351645
244,NA,MB,DO,90035,Gold Coast Transit District,Oxnard,CA,2071300,256,8091.015625
245,NA,MB,DO,90041,Montebello Bus Lines,Montebello,CA,1726508,215,8030.2697674418605
246,NA,MB,DO,10016,Greater Portland Transit District,Portland,ME,1345771,168,8010.541666666667
247,NA,MB,DO,50099,Eau Claire Transit,Eau Claire,WI,696795,87,8009.137931034483
248,NA,MB,PT,90031,Riverside Transit Agency,Riverside,CA,2142364,269,7964.17843866171
249,NA,MB,DO,40035,Central Florida Regional Transportation Authority,Orlando,FL,14694662,1863,7887.633923778852
250,NA,MB,DO,70019,University of Iowa,Iowa City,IA,625508,80,7818.85
251,NA,MB,DO,90036,Orange County Transportation Authority,Orange,CA,9886451,1278,7735.8771517996875
252,NA,MB,PT,90026,San Diego Metropolitan Transit System,San Diego,CA,11103840,1446,7679.004149377593
253,NA,MB,DO,60018,Metropolitan Tulsa Transit Authority,Tulsa,OK,2354249,311,7569.932475884244
254,NA,MB,PT,30027,Central Pennsylvania Transportation Authority,York,PA,98172,13,7551.692307692308
255,NA,MB,DO,60014,Brownsville Metro,Brownsville,TX,752672,100,7526.72
256,NA,MB,DO,40100,Santee Wateree Regional Transportation Authority,Sumter,SC,261535,35,7472.428571428572
257,NA,MB,DO,00029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,6115987,822,7440.373479318735
258,NA,MB,DO,70005,Kansas City Area Transportation Authority,Kansas City,MO,5198722,709,7332.471086036671
259,NA,MB,DO,90014,Alameda-Contra Costa Transit District,Oakland,CA,15721061,2169,7248.068695251268
260,NA,MB,DO,40046,Sarasota County Area Transit,Sarasota,FL,1912248,265,7216.030188679245
261,NA,MB,PT,90146,Foothill Transit,West Covina,CA,11098644,1557,7128.223506743738
262,3,MB,DO,30030,Washington Metropolitan Area Transit Authority,Washington,DC,35554946,4995,7118.107307307308
263,NA,MB,DO,30034,Maryland Transit Administration,Baltimore,MD,19472968,2750,7081.079272727273
264,NA,MB,PT,30085,Prince George's County Transit,Upper Marlboro,MD,2737334,388,7054.984536082474
265,NA,MB,DO,00007,Lane Transit District,Eugene,OR,2073463,296,7004.9425675675675
266,NA,MB,PT,90017,City of Santa Rosa,Santa Rosa,CA,20969,3,6989.666666666667
267,NA,MB,DO,40031,Lakeland Area Mass Transit District,Lakeland,FL,1421031,204,6965.838235294118
268,NA,MB,DO,50060,Champaign-Urbana Mass Transit District,Urbana,IL,2889784,424,6815.528301886792
269,NA,MB,PT,90147,City of Los Angeles Department of Transportation,Los Angeles,CA,7050029,1037,6798.485053037609
270,NA,MB,DO,50016,Central Ohio Transit Authority,Columbus,OH,10338688,1536,6730.916666666667
271,NA,MB,DO,40071,Department of Parking & Public Transit,Huntsville,AL,790645,118,6700.381355932203
272,NA,MB,DO,50003,Kenosha Area Transit,Kenosha,WI,817940,124,6596.290322580645
273,NA,MB,DO,40004,Metropolitan Transit Authority,Madison,TN,5692335,869,6550.443037974684
274,NA,MB,DO,30027,Central Pennsylvania Transportation Authority,York,PA,1222633,187,6538.144385026738
275,NA,MB,DO,00024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,3726686,570,6538.045614035088
276,NA,MB,PT,41199,Area Regional Transit - ART,Fort Pierce,FL,522913,80,6536.4125
277,NA,MB,DO,60056,Dallas Area Rapid Transit,Dallas,TX,20519289,3146,6522.342339478703
278,NA,MB,DO,80007,Pueblo Transit,Pueblo,CO,482040,74,6514.054054054054
279,NA,MB,PT,20175,Private Transportation Corporation,Brooklyn,NY,110101,17,6476.529411764706
280,NA,MB,DO,00003,Pierce County Transportation Benefit Area Authority,Lakewood,WA,4227441,653,6473.87595712098
281,NA,MB,DO,80012,Great Falls Transit District,Great Falls,MT,430464,67,6424.835820895522
282,NA,MB,DO,50033,The Rapid,Grand Rapids,MI,5138612,800,6423.265
283,NA,MB,PT,10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,New Britain,CT,183331,29,6321.758620689655
284,NA,MB,DO,50010,METRO Regional Transit Authority,Akron,OH,3252489,522,6230.8218390804595
285,NA,MB,DO,30051,"Ride On, Montgomery County Transit",Rockville,MD,11942779,1918,6226.683524504692
286,NA,MB,DO,90026,San Diego Metropolitan Transit System,San Diego,CA,9426104,1520,6201.384210526316
287,NA,MB,DO,90031,Riverside Transit Agency,Riverside,CA,4099097,664,6173.338855421687
288,NA,MB,PT,40224,Mountain Mobility,Asheville,NC,129400,21,6161.9047619047615
289,NA,MB,DO,80009,Mountain Line,Missoula,MT,633207,103,6147.640776699029
290,NA,MB,DO,60015,City of Galveston Island Transit,Galveston,TX,225632,37,6098.1621621621625
291,NA,MB,PT,50149,Michiana Area Council of Governments,South Bend,IN,605941,100,6059.41
292,NA,MB,DO,30022,Port Authority of Allegheny County,Pittsburgh,PA,18748966,3127,5995.8317876559
293,NA,MB,DO,90027,Fresno Area Express,Fresno,CA,4788756,799,5993.436795994994
294,4,MB,DO,30019,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,39188981,6575,5960.301292775665
295,NA,MB,DO,50117,Laketran,Painesville,OH,952811,160,5955.06875
296,NA,MB,DO,00006,Yakima Transit,Yakima,WA,710402,120,5920.016666666666
